"Brasil";"Indicador";"Ano";"Quadrimestre";"Equipe";"Numerador";"Denominador_Informado";"Denominador_Estimado";"Indicador_calculado";"Tempo"
"Brasil";1;2018;"Q1";"todas";92507;306908;585012;0,16;"2018Q1"
"Brasil";1;2018;"Q2";"todas";110768;357335;591846;0,19;"2018Q2"
"Brasil";1;2018;"Q3";"todas";120127;354240;597596;0,2;"2018Q3"
"Brasil";1;2019;"Q1";"todas";138761;401591;602343;0,23;"2019Q1"
"Brasil";1;2019;"Q2";"todas";164520;441221;604545;0,27;"2019Q2"
"Brasil";1;2019;"Q3";"todas";169688;427438;606888;0,28;"2019Q3"
"Brasil";1;2020;"Q1";"todas";165348;436672;628524;0,26;"2020Q1"
"Brasil";1;2020;"Q2";"todas";172608;430645;599566;0,29;"2020Q2"
"Brasil";1;2020;"Q3";"todas";187036;414667;564165;0,33;"2020Q3"
"Brasil";2;2018;"Q1";"todas";98043;306908;585012;0,17;"2018Q1"
"Brasil";2;2018;"Q2";"todas";126659;357335;591846;0,21;"2018Q2"
"Brasil";2;2018;"Q3";"todas";134655;354240;597596;0,23;"2018Q3"
"Brasil";2;2019;"Q1";"todas";159039;401591;602343;0,26;"2019Q1"
"Brasil";2;2019;"Q2";"todas";175722;441221;604545;0,29;"2019Q2"
"Brasil";2;2019;"Q3";"todas";175615;427438;606888;0,29;"2019Q3"
"Brasil";2;2020;"Q1";"todas";195457;436672;628524;0,31;"2020Q1"
"Brasil";2;2020;"Q2";"todas";205640;430645;599566;0,34;"2020Q2"
"Brasil";2;2020;"Q3";"todas";231443;460071;605598;0,38;"2020Q3"
"Brasil";3;2018;"Q1";"todas";72281;306908;585012;0,12;"2018Q1"
"Brasil";3;2018;"Q2";"todas";81783;357335;591846;0,14;"2018Q2"
"Brasil";3;2018;"Q3";"todas";84270;354240;597596;0,14;"2018Q3"
"Brasil";3;2019;"Q1";"todas";97634;401591;602343;0,16;"2019Q1"
"Brasil";3;2019;"Q2";"todas";109848;441221;604545;0,18;"2019Q2"
"Brasil";3;2019;"Q3";"todas";114228;427438;606888;0,19;"2019Q3"
"Brasil";3;2020;"Q1";"todas";120324;436672;628524;0,19;"2020Q1"
"Brasil";3;2020;"Q2";"todas";113940;430645;599566;0,19;"2020Q2"
"Brasil";3;2020;"Q3";"todas";115926;460071;605598;0,19;"2020Q3"
"Brasil";4;2018;"Q1";"todas";3273101;22691941;35378403;0,09;"2018Q1"
"Brasil";4;2018;"Q2";"todas";3697739;24575572;35794980;0,1;"2018Q2"
"Brasil";4;2018;"Q3";"todas";3548470;23283634;33206648;0,11;"2018Q3"
"Brasil";4;2019;"Q1";"todas";4428568;27875339;36404248;0,12;"2019Q1"
"Brasil";4;2019;"Q2";"todas";4729924;29523918;36534055;0,13;"2019Q2"
"Brasil";4;2019;"Q3";"todas";5124823;30986297;36658329;0,14;"2019Q3"
"Brasil";4;2020;"Q1";"todas";5250350;32898493;38047932;0,14;"2020Q1"
"Brasil";4;2020;"Q2";"todas";5111276;35588704;36375960;0,14;"2020Q2"
"Brasil";4;2020;"Q3";"todas";5376990;37833396;36718287;0,14;"2020Q3"
"Brasil";5;2018;"Q1";"todas";754665;766580;585012;0,98;"2018Q1"
"Brasil";5;2018;"Q2";"todas";792090;839638;591846;0,94;"2018Q2"
"Brasil";5;2018;"Q3";"todas";804647;854918;597596;0,94;"2018Q3"
"Brasil";5;2019;"Q1";"todas";835187;899782;602343;0,93;"2019Q1"
"Brasil";5;2019;"Q2";"todas";710487;972265;604545;0,73;"2019Q2"
"Brasil";5;2019;"Q3";"todas";355527;994403;606888;0,36;"2019Q3"
"Brasil";5;2020;"Q1";"todas";462939;893279;628524;0,52;"2020Q1"
"Brasil";5;2020;"Q2";"todas";645258;907019;599566;0,71;"2020Q2"
"Brasil";5;2020;"Q3";"todas";725459;1003986;605598;0,72;"2020Q3"
"Brasil";6;2018;"Q1";"todas";569344;7318604;31703274;0,02;"2018Q1"
"Brasil";6;2018;"Q2";"todas";704536;7777522;32058908;0,02;"2018Q2"
"Brasil";6;2018;"Q3";"todas";791858;8011351;32349637;0,02;"2018Q3"
"Brasil";6;2019;"Q1";"todas";886373;8257362;32599941;0,03;"2019Q1"
"Brasil";6;2019;"Q2";"todas";996878;8580280;32718513;0,03;"2019Q2"
"Brasil";6;2019;"Q3";"todas";1106559;8810383;32843585;0,03;"2019Q3"
"Brasil";6;2020;"Q1";"todas";1112636;8789404;34057351;0,03;"2020Q1"
"Brasil";6;2020;"Q2";"todas";1095529;8947930;32632740;0,03;"2020Q2"
"Brasil";6;2020;"Q3";"todas";1451453;9079517;32944067;0,04;"2020Q3"
"Brasil";7;2018;"Q1";"todas";361297;2612822;9082438;0,04;"2018Q1"
"Brasil";7;2018;"Q2";"todas";393636;2808761;9187867;0,04;"2018Q2"
"Brasil";7;2018;"Q3";"todas";416345;2931341;9274530;0,04;"2018Q3"
"Brasil";7;2019;"Q1";"todas";465215;3082870;9348934;0,05;"2019Q1"
"Brasil";7;2019;"Q2";"todas";500994;3256075;9381698;0,05;"2019Q2"
"Brasil";7;2019;"Q3";"todas";567297;3389956;9420883;0,06;"2019Q3"
"Brasil";7;2020;"Q1";"todas";612735;3418060;9784416;0,06;"2020Q1"
"Brasil";7;2020;"Q2";"todas";759638;3560440;9359510;0,08;"2020Q2"
"Brasil";7;2020;"Q3";"todas";1018014;3755135;9454805;0,11;"2020Q3"
