"UF";"Estado";"Indicador";"Ano";"Quadrimestre";"Equipe";"Numerador";"Denominador_Informado";"Denominador_Estimado";"Indicador_calculado";"Tempo";"REGIAO"
"AC";"ACRE";1;2018;"Q1";"todas";"752";"2725";"3760";"0.2";"2018Q1";"Norte"
"AL";"ALAGOAS";1;2018;"Q1";"todas";"3072";"9110";"10836";"0.28";"2018Q1";"Nordeste"
"AM";"AMAZONAS";1;2018;"Q1";"todas";"2628";"10632";"13404";"0.2";"2018Q1";"Norte"
"AP";"AMAPÁ";1;2018;"Q1";"todas";"147";"1461";"3191";"0.05";"2018Q1";"Norte"
"BA";"BAHIA";1;2018;"Q1";"todas";"8519";"31240";"45943";"0.19";"2018Q1";"Nordeste"
"CE";"CEARÁ";1;2018;"Q1";"todas";"6978";"22063";"32397";"0.22";"2018Q1";"Nordeste"
"DF";"DISTRITO FEDERAL";1;2018;"Q1";"todas";"66";"1478";"5933";"0.01";"2018Q1";"Centro-Oeste"
"ES";"ESPÍRITO SANTO";1;2018;"Q1";"todas";"631";"2969";"9878";"0.06";"2018Q1";"Sudeste"
"GO";"GOIÁS";1;2018;"Q1";"todas";"2041";"7564";"19082";"0.11";"2018Q1";"Centro-Oeste"
"MA";"MARANHÃO";1;2018;"Q1";"todas";"3881";"20088";"27708";"0.14";"2018Q1";"Nordeste"
"MG";"MINAS GERAIS";1;2018;"Q1";"todas";"6161";"22315";"59659";"0.1";"2018Q1";"Sudeste"
"MS";"MATO GROSSO DO SUL";1;2018;"Q1";"todas";"1227";"4068";"10197";"0.12";"2018Q1";"Centro-Oeste"
"MT";"MATO GROSSO";1;2018;"Q1";"todas";"2383";"6663";"10898";"0.22";"2018Q1";"Centro-Oeste"
"PA";"PARÁ";1;2018;"Q1";"todas";"2649";"18108";"29261";"0.09";"2018Q1";"Norte"
"PB";"PARAÍBA";1;2018;"Q1";"todas";"3532";"10388";"14883";"0.24";"2018Q1";"Nordeste"
"PE";"PERNAMBUCO";1;2018;"Q1";"todas";"6766";"20142";"30821";"0.22";"2018Q1";"Nordeste"
"PI";"PIAUÍ";1;2018;"Q1";"todas";"3163";"10024";"13282";"0.24";"2018Q1";"Nordeste"
"PR";"PARANÁ";1;2018;"Q1";"todas";"3861";"12027";"34223";"0.11";"2018Q1";"Sul"
"RJ";"RIO DE JANEIRO";1;2018;"Q1";"todas";"1853";"9412";"42148";"0.04";"2018Q1";"Sudeste"
"RN";"RIO GRANDE DO NORTE";1;2018;"Q1";"todas";"1902";"7384";"10773";"0.18";"2018Q1";"Nordeste"
"RO";"RONDÔNIA";1;2018;"Q1";"todas";"2127";"5422";"6035";"0.35";"2018Q1";"Norte"
"RR";"RORAIMA";1;2018;"Q1";"todas";"523";"1885";"2330";"0.22";"2018Q1";"Norte"
"RS";"RIO GRANDE DO SUL";1;2018;"Q1";"todas";"4048";"10380";"26256";"0.15";"2018Q1";"Sul"
"SC";"SANTA CATARINA";1;2018;"Q1";"todas";"4981";"11801";"22807";"0.22";"2018Q1";"Sul"
"SE";"SERGIPE";1;2018;"Q1";"todas";"668";"3694";"8158";"0.08";"2018Q1";"Nordeste"
"SP";"SÃO PAULO";1;2018;"Q1";"todas";"16247";"38766";"84798";"0.19";"2018Q1";"Sudeste"
"TO";"TOCANTINS";1;2018;"Q1";"todas";"1701";"5099";"6350";"0.27";"2018Q1";"Norte"
"AC";"ACRE";1;2018;"Q2";"todas";"961";"3095";"3751";"0.26";"2018Q2";"Norte"
"AL";"ALAGOAS";1;2018;"Q2";"todas";"3830";"10690";"10901";"0.35";"2018Q2";"Nordeste"
"AM";"AMAZONAS";1;2018;"Q2";"todas";"3236";"12379";"13682";"0.24";"2018Q2";"Norte"
"AP";"AMAPÁ";1;2018;"Q2";"todas";"184";"1746";"3308";"0.06";"2018Q2";"Norte"
"BA";"BAHIA";1;2018;"Q2";"todas";"10238";"36089";"46174";"0.22";"2018Q2";"Nordeste"
"CE";"CEARÁ";1;2018;"Q2";"todas";"8856";"26075";"32515";"0.27";"2018Q2";"Nordeste"
"DF";"DISTRITO FEDERAL";1;2018;"Q2";"todas";"557";"4013";"7254";"0.08";"2018Q2";"Centro-Oeste"
"ES";"ESPÍRITO SANTO";1;2018;"Q2";"todas";"933";"3864";"9887";"0.09";"2018Q2";"Sudeste"
"GO";"GOIÁS";1;2018;"Q2";"todas";"2375";"8676";"19371";"0.12";"2018Q2";"Centro-Oeste"
"MA";"MARANHÃO";1;2018;"Q2";"todas";"4526";"21971";"27699";"0.16";"2018Q2";"Nordeste"
"MG";"MINAS GERAIS";1;2018;"Q2";"todas";"7885";"28043";"60205";"0.13";"2018Q2";"Sudeste"
"MS";"MATO GROSSO DO SUL";1;2018;"Q2";"todas";"1242";"4130";"10269";"0.12";"2018Q2";"Centro-Oeste"
"MT";"MATO GROSSO";1;2018;"Q2";"todas";"2943";"8182";"10879";"0.27";"2018Q2";"Centro-Oeste"
"PA";"PARÁ";1;2018;"Q2";"todas";"3286";"21047";"29504";"0.11";"2018Q2";"Norte"
"PB";"PARAÍBA";1;2018;"Q2";"todas";"4059";"11925";"14958";"0.27";"2018Q2";"Nordeste"
"PE";"PERNAMBUCO";1;2018;"Q2";"todas";"8001";"23441";"30926";"0.26";"2018Q2";"Nordeste"
"PI";"PIAUÍ";1;2018;"Q2";"todas";"4000";"11637";"13302";"0.3";"2018Q2";"Nordeste"
"PR";"PARANÁ";1;2018;"Q2";"todas";"6508";"15343";"34473";"0.19";"2018Q2";"Sul"
"RJ";"RIO DE JANEIRO";1;2018;"Q2";"todas";"1897";"10438";"42606";"0.04";"2018Q2";"Sudeste"
"RN";"RIO GRANDE DO NORTE";1;2018;"Q2";"todas";"2467";"8446";"10830";"0.23";"2018Q2";"Nordeste"
"RO";"RONDÔNIA";1;2018;"Q2";"todas";"2270";"5796";"6145";"0.37";"2018Q2";"Norte"
"RR";"RORAIMA";1;2018;"Q2";"todas";"404";"1839";"2256";"0.18";"2018Q2";"Norte"
"RS";"RIO GRANDE DO SUL";1;2018;"Q2";"todas";"4243";"11443";"26437";"0.16";"2018Q2";"Sul"
"SC";"SANTA CATARINA";1;2018;"Q2";"todas";"5792";"12687";"23131";"0.25";"2018Q2";"Sul"
"SE";"SERGIPE";1;2018;"Q2";"todas";"872";"4217";"8223";"0.11";"2018Q2";"Nordeste"
"SP";"SÃO PAULO";1;2018;"Q2";"todas";"17213";"44330";"86756";"0.2";"2018Q2";"Sudeste"
"TO";"TOCANTINS";1;2018;"Q2";"todas";"1990";"5793";"6407";"0.31";"2018Q2";"Norte"
"AC";"ACRE";1;2018;"Q3";"todas";"991";"3204";"3739";"0.27";"2018Q3";"Norte"
"AL";"ALAGOAS";1;2018;"Q3";"todas";"3755";"9372";"10921";"0.34";"2018Q3";"Nordeste"
"AM";"AMAZONAS";1;2018;"Q3";"todas";"4073";"13358";"13790";"0.3";"2018Q3";"Norte"
"AP";"AMAPÁ";1;2018;"Q3";"todas";"269";"2147";"3237";"0.08";"2018Q3";"Norte"
"BA";"BAHIA";1;2018;"Q3";"todas";"10896";"33498";"46426";"0.23";"2018Q3";"Nordeste"
"CE";"CEARÁ";1;2018;"Q3";"todas";"9344";"25490";"32577";"0.29";"2018Q3";"Nordeste"
"DF";"DISTRITO FEDERAL";1;2018;"Q3";"todas";"1821";"6351";"9314";"0.2";"2018Q3";"Centro-Oeste"
"ES";"ESPÍRITO SANTO";1;2018;"Q3";"todas";"1235";"3845";"9978";"0.12";"2018Q3";"Sudeste"
"GO";"GOIÁS";1;2018;"Q3";"todas";"2401";"8738";"19481";"0.12";"2018Q3";"Centro-Oeste"
"MA";"MARANHÃO";1;2018;"Q3";"todas";"5590";"22726";"27728";"0.2";"2018Q3";"Nordeste"
"MG";"MINAS GERAIS";1;2018;"Q3";"todas";"8554";"27423";"60956";"0.14";"2018Q3";"Sudeste"
"MS";"MATO GROSSO DO SUL";1;2018;"Q3";"todas";"1298";"4331";"10447";"0.12";"2018Q3";"Centro-Oeste"
"MT";"MATO GROSSO";1;2018;"Q3";"todas";"3418";"8274";"10900";"0.31";"2018Q3";"Centro-Oeste"
"PA";"PARÁ";1;2018;"Q3";"todas";"3938";"22415";"29850";"0.13";"2018Q3";"Norte"
"PB";"PARAÍBA";1;2018;"Q3";"todas";"4368";"11325";"15000";"0.29";"2018Q3";"Nordeste"
"PE";"PERNAMBUCO";1;2018;"Q3";"todas";"8307";"21483";"30946";"0.27";"2018Q3";"Nordeste"
"PI";"PIAUÍ";1;2018;"Q3";"todas";"4034";"11094";"13298";"0.3";"2018Q3";"Nordeste"
"PR";"PARANÁ";1;2018;"Q3";"todas";"7255";"16535";"34370";"0.21";"2018Q3";"Sul"
"RJ";"RIO DE JANEIRO";1;2018;"Q3";"todas";"2199";"9677";"42690";"0.05";"2018Q3";"Sudeste"
"RN";"RIO GRANDE DO NORTE";1;2018;"Q3";"todas";"2394";"7789";"10850";"0.22";"2018Q3";"Nordeste"
"RO";"RONDÔNIA";1;2018;"Q3";"todas";"2375";"5647";"6143";"0.39";"2018Q3";"Norte"
"RR";"RORAIMA";1;2018;"Q3";"todas";"411";"2300";"2363";"0.17";"2018Q3";"Norte"
"RS";"RIO GRANDE DO SUL";1;2018;"Q3";"todas";"4136";"11128";"26520";"0.16";"2018Q3";"Sul"
"SC";"SANTA CATARINA";1;2018;"Q3";"todas";"5630";"12409";"23309";"0.24";"2018Q3";"Sul"
"SE";"SERGIPE";1;2018;"Q3";"todas";"841";"3958";"8308";"0.1";"2018Q3";"Nordeste"
"SP";"SÃO PAULO";1;2018;"Q3";"todas";"18442";"44274";"88047";"0.21";"2018Q3";"Sudeste"
"TO";"TOCANTINS";1;2018;"Q3";"todas";"2152";"5449";"6407";"0.34";"2018Q3";"Norte"
"AC";"ACRE";1;2019;"Q1";"todas";"1045";"3274";"3710";"0.28";"2019Q1";"Norte"
"AL";"ALAGOAS";1;2019;"Q1";"todas";"3863";"9557";"10940";"0.35";"2019Q1";"Nordeste"
"AM";"AMAZONAS";1;2019;"Q1";"todas";"3715";"12517";"13717";"0.27";"2019Q1";"Norte"
"AP";"AMAPÁ";1;2019;"Q1";"todas";"225";"1882";"3222";"0.07";"2019Q1";"Norte"
"BA";"BAHIA";1;2019;"Q1";"todas";"12062";"37450";"46941";"0.26";"2019Q1";"Nordeste"
"CE";"CEARÁ";1;2019;"Q1";"todas";"9582";"27331";"32683";"0.29";"2019Q1";"Nordeste"
"DF";"DISTRITO FEDERAL";1;2019;"Q1";"todas";"3540";"8280";"9454";"0.37";"2019Q1";"Centro-Oeste"
"ES";"ESPÍRITO SANTO";1;2019;"Q1";"todas";"985";"3898";"10041";"0.1";"2019Q1";"Sudeste"
"GO";"GOIÁS";1;2019;"Q1";"todas";"2929";"10108";"19799";"0.15";"2019Q1";"Centro-Oeste"
"MA";"MARANHÃO";1;2019;"Q1";"todas";"5996";"22046";"27991";"0.21";"2019Q1";"Nordeste"
"MG";"MINAS GERAIS";1;2019;"Q1";"todas";"10404";"36137";"61205";"0.17";"2019Q1";"Sudeste"
"MS";"MATO GROSSO DO SUL";1;2019;"Q1";"todas";"1757";"5509";"10581";"0.17";"2019Q1";"Centro-Oeste"
"MT";"MATO GROSSO";1;2019;"Q1";"todas";"3855";"9063";"11058";"0.35";"2019Q1";"Centro-Oeste"
"PA";"PARÁ";1;2019;"Q1";"todas";"3920";"21925";"30056";"0.13";"2019Q1";"Norte"
"PB";"PARAÍBA";1;2019;"Q1";"todas";"4590";"12286";"15074";"0.3";"2019Q1";"Nordeste"
"PE";"PERNAMBUCO";1;2019;"Q1";"todas";"8824";"23124";"31151";"0.28";"2019Q1";"Nordeste"
"PI";"PIAUÍ";1;2019;"Q1";"todas";"4213";"11160";"13337";"0.32";"2019Q1";"Nordeste"
"PR";"PARANÁ";1;2019;"Q1";"todas";"8846";"21862";"34403";"0.26";"2019Q1";"Sul"
"RJ";"RIO DE JANEIRO";1;2019;"Q1";"todas";"3194";"13134";"42811";"0.07";"2019Q1";"Sudeste"
"RN";"RIO GRANDE DO NORTE";1;2019;"Q1";"todas";"2626";"8341";"10866";"0.24";"2019Q1";"Nordeste"
"RO";"RONDÔNIA";1;2019;"Q1";"todas";"2650";"5863";"6200";"0.43";"2019Q1";"Norte"
"RR";"RORAIMA";1;2019;"Q1";"todas";"680";"2617";"2411";"0.26";"2019Q1";"Norte"
"RS";"RIO GRANDE DO SUL";1;2019;"Q1";"todas";"4961";"13055";"26629";"0.19";"2019Q1";"Sul"
"SC";"SANTA CATARINA";1;2019;"Q1";"todas";"6116";"14610";"23721";"0.26";"2019Q1";"Sul"
"SE";"SERGIPE";1;2019;"Q1";"todas";"1065";"5272";"8360";"0.13";"2019Q1";"Nordeste"
"SP";"SÃO PAULO";1;2019;"Q1";"todas";"24944";"56076";"89506";"0.28";"2019Q1";"Sudeste"
"TO";"TOCANTINS";1;2019;"Q1";"todas";"2174";"5214";"6474";"0.34";"2019Q1";"Norte"
"AC";"ACRE";1;2019;"Q2";"todas";"1146";"3512";"3723";"0.31";"2019Q2";"Norte"
"AL";"ALAGOAS";1;2019;"Q2";"todas";"3926";"9826";"10873";"0.36";"2019Q2";"Nordeste"
"AM";"AMAZONAS";1;2019;"Q2";"todas";"3823";"12842";"13880";"0.28";"2019Q2";"Norte"
